ids,labels,parents,colors
Vegetal/Earthy Herb,Vegetal/Earthy Herb,,#111111
Floral,Floral,,#111112
Vegetal/Earthy Herb-Bergamot Oil,Bergamot Oil,Vegetal/Earthy Herb,#111113
Vegetal/Earthy Herb-Hops,Hops,Vegetal/Earthy Herb,#111114
Vegetal/Earthy Herb-Black Tea,Black Tea,Vegetal/Earthy Herb,#111115
Vegetal/Earthy Herb-Green Tea,Green Tea,Vegetal/Earthy Herb,#111116
Vegetal/Earthy Herb-Mint,Mint,Vegetal/Earthy Herb,#111117
Vegetal/Earthy Herb-Sage,Sage,Vegetal/Earthy Herb,#111118
Vegetal/Earthy Herb-Dill,Dill,Vegetal/Earthy Herb,#111119
Vegetal/Earthy Herb-Grassy,Grassy,Vegetal/Earthy Herb,#111120
Vegetal/Earthy Herb-Rhubarb,Rhubarb,Vegetal/Earthy Herb,#111121
Vegetal/Earthy Herb-Sweet Pea,Sweet Pea,Vegetal/Earthy Herb,#111122
Vegetal/Earthy Herb-Tomato,Tomato,Vegetal/Earthy Herb,#111123
Vegetal/Earthy Herb-Carrot,Carrot,Vegetal/Earthy Herb,#111124
Vegetal/Earthy Herb-Mushroom,Mushroom,Vegetal/Earthy Herb,#111125
Vegetal/Earthy Herb-Squash,Squash,Vegetal/Earthy Herb,#111126
Vegetal/Earthy Herb-Green Pepper,Green Pepper,Vegetal/Earthy Herb,#111127
Vegetal/Earthy Herb-Olive,Olive,Vegetal/Earthy Herb,#111128
Vegetal/Earthy Herb-Leafy Green,Leafy Green,Vegetal/Earthy Herb,#111129
Vegetal/Earthy Herb-Straw,Straw,Vegetal/Earthy Herb,#111130
Vegetal/Earthy Herb-Tobacco,Tobacco,Vegetal/Earthy Herb,#111131
Vegetal/Earthy Herb-Cedar,Cedar,Vegetal/Earthy Herb,#111132
Vegetal/Earthy Herb-Wood,Wood,Vegetal/Earthy Herb,#111133
Vegetal/Earthy Herb-Soil,Soil,Vegetal/Earthy Herb,#111134
Floral-Lemongrass,Lemongrass,Floral,#111135
Floral-Orange Blossom,Orange Blossom,Floral,#111136
Floral-Jasmine,Jasmine,Floral,#111137
Floral-Honeysuckle,Honeysuckle,Floral,#111138
Floral-Magnolia,Magnolia,Floral,#111139
Floral-Lavender,Lavender,Floral,#111140
Floral-Rose/Rosewater,Rose/Rosewater,Floral,#111141
Floral-Hibiscus,Hibiscus,Floral,#111142
