,ids,parents,2nd level,labels_to_attach,labels
,Fruity,Fruity,,,
,Sour/Acid,Sour/Acid,,,
,Alcohol/Fermented,Alcohol/Fermented,,,
,Green/Vegetative,Green/Vegetative,,,
,Stale/Papery,Stale/Papery,,,
,Earthy,Earthy,,,
,Chemical,Chemical,,,
,Roasted,Roasted,,,
,Cereal,Cereal,,,
,Spices,Spices,,,
,Nutty,Nutty,,,
,Cocoa,Cocoa,,,
,Sweet,Sweet,,,
,Floral,Floral,,,
Fruity,Fruity-Fruity,Fruity-Fruity,,,"A sweet, floral, aromatic blend of a variety of ripe fruits."
Berry,Fruity-Berry,Fruity-Berry,,,"The sweet, sour, floral, sometimes heavy aromatic associated with a variety of berries such as blackberries, raspberries, blueberries, or strawberries."
Strawberry,Fruity-Berry-Strawberry,Fruity-Berry-Berry-Strawberry,Berry,-Berry-,"The somewhat sweet, slightly sour, floral, fruity, frequently winey aromatic associated with strawberry."
Raspberry,Fruity-Berry-Raspberry,Fruity-Berry-Berry-Raspberry,Berry,-Berry-,"The lightly sweet, fruity, floral, slightly sour and musty aromatic associated with raspberries."
Blueberry,Fruity-Blueberry,Fruity-Berry-Blueberry,Berry,-Berry-,"The slightly dark, fruity, sweet, slightly sour, musty, dusty, floral aromatic associated with blueberry."
Blackberry,Fruity-Blackberry,Fruity-Berry-Blackberry,Berry,-Berry-,"The sweet, dark, fruity, floral, slightly sour, somewhat woody aromatic associated with blackberries."
Dried Fruit,Fruity-Dried Fruit,Fruity-Dried Fruit,,,An aromatic impression of dark fruit that is sweet and slightly brown and is associated with dried plums and raisins.
Raisin,Fruity-Raisin,Fruity-Dried Fruit-Raisin,Dried Fruit,-Dried Fruit-,"The concentrated, sweet, somewhat sour, brown, fruity, floral aromatic characteristic of dried grapes."
Prune,Fruity-Prune,Fruity-Dried Fruit-Prune,Dried Fruit,-Dried Fruit-,"The sweet, slightly brown, floral, musty and overripe aromatic impression of dark fruit associated with dried plums."
Other Fruit,Fruity-Other Fruit,Fruity-Other Fruit,,,"A sweet, light, fruity, somewhat floral, sour, or green aromatic that may include apples, grapes, peaches, pears, or cherries."
Apple,Fruity-Apple,Fruity-Other Fruit-Apple,Other Fruit,-Other Fruit-,"A sweet, light, fruity, somewhat floral aromatic commonly associated with fresh or processed apples."
Pear,Fruity-Pear,Fruity-Other Fruit-Pear,Other Fruit,-Other Fruit-,"The sweet, slightly floral, musty, woody, fruity aromatic associated with pears."
Peach,Fruity-Peach,Fruity-Other Fruit-Peach,Other Fruit,-Other Fruit-,"The floral, perfuming, fruity, sweet, slightly sour aromatic associated with peaches."
Grape,Fruity-Grape,Fruity-Other Fruit-Grape,Other Fruit,-Other Fruit-,"The sweet, fruity, floral, slightly sour, musty aromatic commonly associated with grapes."
Cherry,Fruity-Cherry,Fruity-Other Fruit-Cherry,Other Fruit,-Other Fruit-,"The sour, fruity, slightly bitter, floral aromatic associated with cherries."
Pomegranate,Fruity-Pomegranate,Fruity-Other Fruit-Pomegranate,Other Fruit,-Other Fruit-,"A sour, sweet fruity aromatic that may be somewhat dark, musty and earthy, reminiscent of dark fruits and root vegetables such as beets and carrots; may also have an astringent mouthfeel."
Coconut,Fruity-Coconut,Fruity-Other Fruit-Coconut,Other Fruit,-Other Fruit-,"The slightly sweet, nutty, somewhat woody aromatic associated with coconut."
Pineapple,Fruity-Pineapple,Fruity-Other Fruit-Pineapple,Other Fruit,-Other Fruit-,"The sweet, slightly sharp, fruity aromatic associated with pineapple."
Citrus Fruit,Fruity-Citrus Fruit,Fruity-Citrus Fruit,,,"A citric, sour, astringent, slightly sweet, peely, and somewhat floral aromatic that may include lemons, limes, grapefruits, or oranges."
Lemon,Fruity-Lemon,Fruity-Citrus Fruit-Lemon,Citrus Fruit,-Citrus Fruit-,"The citric, sour, astringent, slightly sweet, peely and somewhat floral aromatic associated with lemon."
Grapefruit,Fruity-Grapefruit,Fruity-Citrus Fruit-Grapefruit,Citrus Fruit,-Citrus Fruit-,"The citric, sour, bitter, astringent, peely, sharp, slightly sweet aromatic associated with grapefruit."
Orange,Fruity-Orange,Fruity-Citrus Fruit-Orange,Citrus Fruit,-Citrus Fruit-,"The citric, sweet, floral, slightly sour aromatic associated with oranges, which may include bitter, peely, and astringent notes."
Lime,Fruity-Lime,Fruity-Citrus Fruit-Lime,Citrus Fruit,-Citrus Fruit-,"The citric, sour, astringent, bitter, green, peely, sharp and somewhat floral aromatic associated with limes."
Sour,Sour/Acid-Sour,Sour/Acid-Sour,,,The fundamental taste factor associated with a citric acid solution.
Sour Aromatics,Sour/Acid-Sour Aromatics,Sour/Acid-Sour-Sour Aromatics,Sour,-Sour-,An aromatic associated with the impression of a sour product.
Acetic acid,Sour/Acid-Acetic acid,Sour/Acid-Sour-Acetic acid,Sour,-Sour-,"A sour, astringent, slightly pungent aromatic associated with vinegar."
Butyric acid,Sour/Acid-Butyric acid,Sour/Acid-Sour-Butyric acid,Sour,-Sour-,"A sour, fermented-dairy aromatic associated with certain aged cheeses such as Parmesan."
Isovaleric acid,Sour/Acid-Isovaleric acid,Sour/Acid-Sour-Isovaleric acid,Sour,-Sour-,"A pungent, sour aromatic associated with sweaty, perspiration-generated foot odor and certain aged cheeses such as Romano."
